paper_id,date,has_ai_policy,location,ai_tool,journal_name,usage_purpose,journal_name_std,journal_location,journal_category,journal_usage,usage_purpose_categories_filtered
https://openalex.org/W4404702677,2024-11-25,False,Acknowledgements,Claude,Psychological Medicine,English language editing assistance,psychological med,Not Specified,Not Mentioned,,Language & Grammar Support
https://openalex.org/W4404494880,2024-11-18,False,Acknowledgements,Claude,The Historical Journal,revision process,the historical journal,,,,Writing & Editing Support
https://openalex.org/W4408155423,2025-03-04,True,Contributor Section,GPT-4,BMC Medical Education,assistance,bmc med education,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Error Analysis & Others
https://openalex.org/W4405157238,2024-12-09,True,Acknowledgements,ChatGPT,Public health reviews,phrasing of the manuscript,public health reviews,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Style & Formatting
https://openalex.org/W4390744700,2024-01-11,True,Acknowledgements,Chat GPT 3.5,Frontiers in Medicine,improving readability and fitting the length of the article,frontiers in med,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4408688870,2025-03-21,True,AI Declaration Section,Unspecified,Frontiers in Cell and Developmental Biology,creation of this manuscript,frontiers in cell and developmental biology,Methods,Disclosure Required,General writing assistance,Content Creation & Generation
https://openalex.org/W4404347568,2024-11-14,False,Experimental Section,ChatGPT,Scientific Reports,poem generation,scientific reports,Not Specified,Not Mentioned,,Content Creation & Generation
https://openalex.org/W4403911480,2024-10-30,True,AI Declaration Section,Unspecified,Frontiers in Marine Science,English editing and checking the grammar,frontiers in marine sci,Methods,Disclosure Required,General writing assistance,Language & Grammar Support
https://openalex.org/W4386290884,2023-08-30,True,Contributor Section,GPT-4,Frontiers in Medicine,content generation,frontiers in med,Methods,Disclosure Required,General writing assistance,Content Creation & Generation
https://openalex.org/W4408765618,2025-03-22,True,Acknowledgements,ChatGPT,Virtual Reality,"revising sentences, improving grammar and enriching the vocabulary",virtual reality,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4394808305,2024-04-15,True,Acknowledgements,ChatGPT,Genome biology,proofreading,genome biology,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Writing & Editing Support
https://openalex.org/W4408461396,2025-03-14,True,AI Declaration Section,ChatGPT,Frontiers in Immunology,editorial purposes in improving the clarity and language of the manuscript,frontiers in immunology,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4391760064,2024-01-01,False,Acknowledgements,ChatGPT,Green Chemistry,TOC generation,green chemistry,Not Specified,Not Mentioned,,Content Creation & Generation
https://openalex.org/W4392615577,2024-03-09,False,Experimental Section,ChatGPT-4,Nature Communications,improve the readability and conciseness of the manuscript,nature comm,Not Specified,Not Mentioned,,Writing & Editing Support
https://openalex.org/W4391104416,2024-01-22,False,Acknowledgements,ChatGPT-3.5,Journal of Rehabilitation Medicine,correction and improvement of scientific medical writing,j rehabilitation med,Not Specified,Not Mentioned,,Writing & Editing Support
https://openalex.org/W4387380513,2023-10-05,True,Disclosure Section,ChatGPT,Journal of Cheminformatics,creating a convincing looking scientific abstract or article,j cheminformatics,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Content Creation & Generation
https://openalex.org/W4408158969,2025-03-05,True,Acknowledgements,Unspecified,Frontiers in Medicine,language editing and rephrasing,frontiers in med,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4406850390,2025-01-27,True,Acknowledgements,Grammarly,Frontiers in Human Dynamics,text editing,frontiers in human dynamics,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4404336935,2024-11-13,False,Acknowledgements,ChatGPT,Nature,co-authorship,nature,Not Specified,Not Mentioned,,Content Creation & Generation
https://openalex.org/W4399193359,2024-05-30,True,Acknowledgements,ChatGPT,Public health reviews,language editing,public health reviews,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Writing & Editing Support
https://openalex.org/W4394580402,2024-04-08,True,Acknowledgements,Grammarly,Infectious Diseases and Therapy,text editing,infectious diseases and therapy,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4408764529,2025-03-23,False,Methods,ChatGPT,Nature Communications,formatting,nature comm,Not Specified,Not Mentioned,,Style & Formatting
https://openalex.org/W4404148891,2024-11-01,False,Acknowledgements,ChatGPT,International Journal of Sustainability in Higher Education,proofreading and editing the manuscript,int j sustainability in higher education,Not Specified,Not Mentioned,,Writing & Editing Support
https://openalex.org/W4399652136,2024-06-13,False,Methods,GPT-4,Scientific Data,Generating artificial persona,scientific data,Not Specified,Not Mentioned,,Error Analysis & Others
https://openalex.org/W4382560192,2023-06-29,False,Acknowledgements,ChatGPT,Comparative Studies in Society and History,text generation,comparative studies in soc and history,Not Specified,Not Mentioned,,Content Creation & Generation
https://openalex.org/W4408218167,2025-03-05,True,Disclosure Section,DeepL Translator,Frontiers in Pharmacology,language improvement,frontiers in pharmacology,Methods,Disclosure Required,General writing assistance,Language & Grammar Support
https://openalex.org/W4407773872,2025-02-20,True,Acknowledgements,ChatGPT,GeroScience,text editing,gerosci,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4200194764,2021-11-22,False,AI Declaration Section,Scite,Journal of the Medical Library Association JMLA,classifying citation statements,j the med library assoc jmla,,,,Reference & Citation Support
https://openalex.org/W4392375357,2024-03-01,True,Acknowledgements,ChatGPT v4 (DALL-E),International Journal of Nanomedicine,creating the graphical abstract,int j nanomed,Methods,Disclosure Required,Error in analysis,Style & Formatting
https://openalex.org/W4400882401,2024-07-22,False,Acknowledgements,Paperpal.com,JMIR Public Health and Surveillance,checking and correcting English expressions,jmir public health and surveillance,Not Specified,Not Mentioned,,Language & Grammar Support
https://openalex.org/W4408989192,2025-03-31,True,Disclosure Section,Grammarly,Arthritis Research & Therapy,text editing,arthritis res therapy,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4388651244,2023-11-13,True,Declaration of Interests,ChatGPT,BMC Psychology,text editing,bmc psychology,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Writing & Editing Support
https://openalex.org/W4393002675,2024-03-20,True,Acknowledgements,ChatGPT,Education and Information Technologies,assisting students in writing essays and comprehending theories and concepts,education and information technologies,Methods,Disclosure Required,General writing assistance,Error Analysis & Others
https://openalex.org/W4408581476,2025-03-18,True,AI Declaration Section,DeepL Write,Frontiers in Plant Science,improve writing,frontiers in plant sci,Methods,Disclosure Required,General writing assistance,Language & Grammar Support
https://openalex.org/W4387092609,2023-09-27,False,Acknowledgements,ChatGPT,Journal of Lightwave Technology,assisting in the preparation of Python codes,j lightwave tech,Not Specified,Not Mentioned,,Error Analysis & Others
https://openalex.org/W4386073259,2023-01-01,False,Acknowledgements,ChatGPT,Lab on a Chip,assist CAD design for microfluidic devices,lab on a chip,Not Specified,Not Mentioned,,Error Analysis & Others
https://openalex.org/W4399930164,2024-06-21,True,Disclosure Section,Microsoft Copilot,Journal of service management,proofreading and copyediting,j service management,Not Specified,Not Mentioned,,Writing & Editing Support
https://openalex.org/W4408588867,2025-03-19,True,Acknowledgements,Chat GPT version 3.5,BMC Nursing,grammatical editing of the manuscript,bmc nursing,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Language & Grammar Support
https://openalex.org/W4388935810,2023-11-23,True,Acknowledgements,ChatGPT-3,Australasian Journal of Educational Technology,text generation,australasian j educational tech,Acknowledgements,Disclosure Required,Text creation; Text editing,Content Creation & Generation
https://openalex.org/W4399443309,2024-06-07,True,AI Declaration Section,ChatGPT,Language Testing in Asia,designing true–false questions,language testing in asia,Methods,Disclosure Required,General writing assistance,Error Analysis & Others
https://openalex.org/W4403902279,2024-10-30,True,Acknowledgements,ChatGPT-4,Frontiers in Plant Science,correcting grammatical errors,frontiers in plant sci,Methods,Disclosure Required,General writing assistance,Language & Grammar Support
https://openalex.org/W4386524579,2023-09-01,True,Acknowledgements,ChatGPT,IEEE Signal Processing Magazine,writing certain parts of the article,ieee signal processing magazine,Other,Disclosure Required,Editing; Grammar enhancement,Content Creation & Generation
https://openalex.org/W4399019489,2024-05-25,False,Disclosure Section,ChatGPT-4,Scientific Reports,English text translation and extensive manuscript proofreading and revision,scientific reports,Not Specified,Not Mentioned,,Translation Services
https://openalex.org/W4401264231,2024-08-02,False,Disclosure Section,ChatGPT,Scientific Reports,enhance the language and readability of the manuscript,scientific reports,Not Specified,Not Mentioned,,Writing & Editing Support
https://openalex.org/W4401038451,2024-07-26,True,Acknowledgements,ChatGPT 3.5,Frontiers in Medicine,summarized content,frontiers in med,Methods,Disclosure Required,General writing assistance,Content Creation & Generation
https://openalex.org/W4401210641,2024-08-01,True,Acknowledgements,ChatGPT and Claude,PLoS ONE,"improve the clarity, coherence, and overall presentation of the manuscript",plos one,Methods,Disclosure Required,Text content generation,Writing & Editing Support
https://openalex.org/W4391839308,2024-02-15,True,Disclosure Section,ChatGPT-4,Scientometrics,text generation,scientometrics,Methods,Disclosure Required,General writing assistance,Content Creation & Generation
https://openalex.org/W4394822508,2024-04-15,True,Acknowledgements,ChatGPT,Theoretical and Applied Genetics,improve the grammar and style of this paper,theoretical and applied genetics,Methods,Disclosure Required,General writing assistance,Language & Grammar Support
https://openalex.org/W4394689344,2024-04-04,False,Acknowledgements,ChatGPT,JMIR Medical Education,generating SCTs for comparison with clinical experts,jmir med education,Not Specified,Not Mentioned,,Error Analysis & Others
https://openalex.org/W4407232102,2025-02-06,False,Acknowledgements,ChatGPT,Astronomy and Astrophysics,debugging certain codes,astronomy and astrophysics,,,,Error Analysis & Others
https://openalex.org/W4405057782,2024-12-05,True,Disclosure Section,ChatGPT,PLoS ONE,text editing,plos one,Methods,Disclosure Required,Text content generation,Writing & Editing Support
https://openalex.org/W4408219425,2025-03-05,True,AI Declaration Section,GPT-4,Frontiers in Plant Science,enhance the clarity of select portions of the text,frontiers in plant sci,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4383534568,2023-07-07,True,Acknowledgements,ChatGPT,BMC Complementary Medicine and Therapies,polishing English language and grammatical check,bmc complementary med and therapies,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Language & Grammar Support
https://openalex.org/W4409011223,2025-03-31,True,Experimental Section,GPT-4,Communications Medicine,Experiments,comm med,Methods,Disclosure Required,General writing assistance,Error Analysis & Others
https://openalex.org/W4399282867,2024-06-03,False,Methods,ChatGPT,Scientific Reports,custom fine-tuning,scientific reports,Not Specified,Not Mentioned,,Error Analysis & Others
https://openalex.org/W4404665077,2024-11-25,True,Declaration of Interests,GPT-4,Rock Mechanics and Rock Engineering,improve the readability and language of some paragraphs in the text,rock mechanics and rock eng,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4387703131,2023-10-17,True,Methods,GPT-4,BMC Medical Education,writing a 210 multi choice questions-MCQs examination,bmc med education,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Error Analysis & Others
https://openalex.org/W4400833734,2024-01-01,False,Acknowledgements,ChatGPT,Physical Chemistry Chemical Physics,identify improvements in the writing style,physical chemistry chemical physics,Not Specified,Not Mentioned,,Writing & Editing Support
https://openalex.org/W4399527330,2024-06-07,True,Acknowledgements,ChatGPT,Frontiers in Veterinary Science,"proposing titles, structuring papers, crafting abstracts, and summarizing research",frontiers in veterinary sci,Methods,Disclosure Required,General writing assistance,Content Creation & Generation
https://openalex.org/W4405201759,2024-12-09,True,Acknowledgements,ChatGPT,Frontiers in Immunology,language editing and improving the clarity of the manuscript,frontiers in immunology,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4398137351,2024-05-20,True,Disclosure Section,ChatGPT,Journal of Assisted Reproduction and Genetics,improve language,j assisted reproduction and genetics,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
https://openalex.org/W4408589798,2025-03-19,False,Acknowledgements,ChatGPT 4,Journal of Learning Analytics,assigning categories to student responses,j learning analytics,Not Specified,Not Mentioned,,Error Analysis & Others
https://openalex.org/W4404914409,2024-12-02,True,Disclosure Section,ChatGPT 3.5,PLoS ONE,improve readability and grammar,plos one,Methods,Disclosure Required,Text content generation,Language & Grammar Support
https://openalex.org/W4393092368,2024-03-22,False,Acknowledgements,Unspecified,Hydrology and earth system sciences,text editing,hydrology and earth system scis,Not Specified,Not Mentioned,,Writing & Editing Support
https://openalex.org/W4390511840,2024-01-01,False,Acknowledgements,ChatGPT,Digital Discovery,text editing,digital discovery,Not Specified,Not Mentioned,,Writing & Editing Support
https://openalex.org/W4406882311,2025-01-28,True,AI Declaration Section,ChatGPT,Frontiers in Political Science,refining phrasing and brainstorming alternative title suggestions,frontiers in political sci,Methods,Disclosure Required,General writing assistance,Style & Formatting
https://openalex.org/W4408135196,2025-03-04,True,AI Declaration Section,Unspecified,Frontiers in Bioengineering and Biotechnology,"grammar, structure, citations, and adherence to disciplinary standards",frontiers in bioeng and biotech,Methods,Disclosure Required,General writing assistance,Reference & Citation Support
https://openalex.org/W4401344974,2024-08-05,True,Disclosure Section,Claude 2.1,Pediatric Rheumatology,"text editing (English language fluency, grammar, word choice, sentence structure)",pediatric rheumatology,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Language & Grammar Support
https://openalex.org/W4396708425,2024-05-07,True,Acknowledgements,ChatGPT,PLoS ONE,language revisions of intellectual content,plos one,Methods,Disclosure Required,Text content generation,Writing & Editing Support
https://openalex.org/W4396973400,2024-05-16,True,Acknowledgements,ChatGPT-3.5,Laboratory Animal Research,content generation,laboratory animal res,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,Content Creation & Generation
https://openalex.org/W4393252962,2024-03-28,True,Declaration of Interests,GPT-4 Turbo,Haematologica,language checking in selected sentences,haematologica,Cover Letter,Disclosure Required,General writing assistance,Language & Grammar Support
https://openalex.org/W4400037475,2024-06-26,True,Methods,GPT-4,PLoS ONE,produce answers for each type of exam,plos one,Methods,Disclosure Required,Text content generation,Error Analysis & Others
https://openalex.org/W4386223224,2023-08-28,True,Disclosure Section,ChatGPT,Smart Learning Environments,proofreading to improve readability and language,smart learning environments,Methods,Disclosure Required,General writing assistance,Language & Grammar Support
https://openalex.org/W4408156390,2025-03-04,True,AI Declaration Section,ChatGPT,Frontiers in Immunology,support the writing of R and Python3 codes and edits throughout the manuscript,frontiers in immunology,Methods,Disclosure Required,General writing assistance,Error Analysis & Others
https://openalex.org/W4398223368,2024-05-22,True,Acknowledgements,"Grammarly, ChatGPT",PLoS ONE,"language improvement, advanced grammar and style checks, refining manuscript’s language and ensuring readability",plos one,Methods,Disclosure Required,Text content generation,Language & Grammar Support
https://openalex.org/W4404968551,2024-12-03,True,Acknowledgements,ChatGPT-3.5,International Journal of Cancer,language and readability improvement,int j cancer,Methods,Disclosure Required,General editing; Grammar improvement; Spelling improvement,Language & Grammar Support
https://openalex.org/W4396873924,2024-05-01,True,Acknowledgements,ChatGPT,Molecular Breeding,refine the written content of this publication,molecular breeding,Methods,Disclosure Required,General writing assistance,Writing & Editing Support
