,paper_id,date,has_ai_policy,location,ai_tool,journal_name,usage_purpose,journal_location,journal_category,journal_usage,journal_usage_categories,usage_purpose_categories_filtered
1,https://openalex.org/W4404702677,2024-11-25,False,Acknowledgements,Claude,Psychological Medicine,English language editing assistance,Not Specified,Not Mentioned,,[],Language & Grammar Support
2,https://openalex.org/W4404494880,2024-11-18,False,Acknowledgements,Claude,The Historical Journal,revision process,,,,[],Writing & Editing Support
4,https://openalex.org/W4408155423,2025-03-04,True,Contributor Section,GPT-4,BMC Medical Education,assistance,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,"['Style & Formatting', 'Language & Grammar Support', 'Writing & Editing Support']",Error Analysis & Others
8,https://openalex.org/W4405157238,2024-12-09,True,Acknowledgements,ChatGPT,Public health reviews,phrasing of the manuscript,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,"['Style & Formatting', 'Language & Grammar Support', 'Writing & Editing Support']",Style & Formatting
11,https://openalex.org/W4390744700,2024-01-11,True,Acknowledgements,Chat GPT 3.5,Frontiers in Medicine,improving readability and fitting the length of the article,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Writing & Editing Support
13,https://openalex.org/W4408688870,2025-03-21,True,AI Declaration Section,Unspecified,Frontiers in Cell and Developmental Biology,creation of this manuscript,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Content Creation & Generation
14,https://openalex.org/W4404347568,2024-11-14,False,Experimental Section,ChatGPT,Scientific Reports,poem generation,Not Specified,Not Mentioned,,[],Content Creation & Generation
15,https://openalex.org/W4403911480,2024-10-30,True,AI Declaration Section,Unspecified,Frontiers in Marine Science,English editing and checking the grammar,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Language & Grammar Support
18,https://openalex.org/W4386290884,2023-08-30,True,Contributor Section,GPT-4,Frontiers in Medicine,content generation,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Content Creation & Generation
21,https://openalex.org/W4408765618,2025-03-22,True,Acknowledgements,ChatGPT,Virtual Reality,"revising sentences, improving grammar and enriching the vocabulary",Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Writing & Editing Support
23,https://openalex.org/W4394808305,2024-04-15,True,Acknowledgements,ChatGPT,Genome biology,proofreading,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,"['Style & Formatting', 'Language & Grammar Support', 'Writing & Editing Support']",Writing & Editing Support
24,https://openalex.org/W4408461396,2025-03-14,True,AI Declaration Section,ChatGPT,Frontiers in Immunology,editorial purposes in improving the clarity and language of the manuscript,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Writing & Editing Support
25,https://openalex.org/W4391760064,2024-01-01,False,Acknowledgements,ChatGPT,Green Chemistry,TOC generation,Not Specified,Not Mentioned,,[],Content Creation & Generation
27,https://openalex.org/W4392615577,2024-03-09,False,Experimental Section,ChatGPT-4,Nature Communications,improve the readability and conciseness of the manuscript,Not Specified,Not Mentioned,,[],Writing & Editing Support
28,https://openalex.org/W4391104416,2024-01-22,False,Acknowledgements,ChatGPT-3.5,Journal of Rehabilitation Medicine,correction and improvement of scientific medical writing,Not Specified,Not Mentioned,,[],Writing & Editing Support
29,https://openalex.org/W4387380513,2023-10-05,True,Disclosure Section,ChatGPT,Journal of Cheminformatics,creating a convincing looking scientific abstract or article,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,"['Style & Formatting', 'Language & Grammar Support', 'Writing & Editing Support']",Content Creation & Generation
30,https://openalex.org/W4408158969,2025-03-05,True,Acknowledgements,Unspecified,Frontiers in Medicine,language editing and rephrasing,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Writing & Editing Support
32,https://openalex.org/W4406850390,2025-01-27,True,Acknowledgements,Grammarly,Frontiers in Human Dynamics,text editing,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Writing & Editing Support
35,https://openalex.org/W4404336935,2024-11-13,False,Acknowledgements,ChatGPT,Nature,co-authorship,Not Specified,Not Mentioned,,[],Content Creation & Generation
36,https://openalex.org/W4399193359,2024-05-30,True,Acknowledgements,ChatGPT,Public health reviews,language editing,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,"['Style & Formatting', 'Language & Grammar Support', 'Writing & Editing Support']",Writing & Editing Support
37,https://openalex.org/W4394580402,2024-04-08,True,Acknowledgements,Grammarly,Infectious Diseases and Therapy,text editing,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Writing & Editing Support
38,https://openalex.org/W4408764529,2025-03-23,False,Methods,ChatGPT,Nature Communications,formatting,Not Specified,Not Mentioned,,[],Style & Formatting
41,https://openalex.org/W4404148891,2024-11-01,False,Acknowledgements,ChatGPT,International Journal of Sustainability in Higher Education,proofreading and editing the manuscript,Not Specified,Not Mentioned,,[],Writing & Editing Support
43,https://openalex.org/W4399652136,2024-06-13,False,Methods,GPT-4,Scientific Data,Generating artificial persona,Not Specified,Not Mentioned,,[],Error Analysis & Others
44,https://openalex.org/W4382560192,2023-06-29,False,Acknowledgements,ChatGPT,Comparative Studies in Society and History,text generation,Not Specified,Not Mentioned,,[],Content Creation & Generation
45,https://openalex.org/W4408218167,2025-03-05,True,Disclosure Section,DeepL Translator,Frontiers in Pharmacology,language improvement,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Language & Grammar Support
46,https://openalex.org/W4407773872,2025-02-20,True,Acknowledgements,ChatGPT,GeroScience,text editing,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Writing & Editing Support
48,https://openalex.org/W4392375357,2024-03-01,True,Acknowledgements,ChatGPT v4 (DALL-E),International Journal of Nanomedicine,creating the graphical abstract,Methods,Disclosure Required,Error in analysis,['Error Analysis & Others'],Style & Formatting
50,https://openalex.org/W4400882401,2024-07-22,False,Acknowledgements,Paperpal.com,JMIR Public Health and Surveillance,checking and correcting English expressions,Not Specified,Not Mentioned,,[],Language & Grammar Support
51,https://openalex.org/W4408989192,2025-03-31,True,Disclosure Section,Grammarly,Arthritis Research & Therapy,text editing,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Writing & Editing Support
52,https://openalex.org/W4388651244,2023-11-13,True,Declaration of Interests,ChatGPT,BMC Psychology,text editing,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,"['Style & Formatting', 'Language & Grammar Support', 'Writing & Editing Support']",Writing & Editing Support
53,https://openalex.org/W4393002675,2024-03-20,True,Acknowledgements,ChatGPT,Education and Information Technologies,assisting students in writing essays and comprehending theories and concepts,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Error Analysis & Others
54,https://openalex.org/W4408581476,2025-03-18,True,AI Declaration Section,DeepL Write,Frontiers in Plant Science,improve writing,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Language & Grammar Support
59,https://openalex.org/W4387092609,2023-09-27,False,Acknowledgements,ChatGPT,Journal of Lightwave Technology,assisting in the preparation of Python codes,Not Specified,Not Mentioned,,[],Error Analysis & Others
61,https://openalex.org/W4386073259,2023-01-01,False,Acknowledgements,ChatGPT,Lab on a Chip,assist CAD design for microfluidic devices,Not Specified,Not Mentioned,,[],Error Analysis & Others
63,https://openalex.org/W4399930164,2024-06-21,True,Disclosure Section,Microsoft Copilot,Journal of service management,proofreading and copyediting,Not Specified,Not Mentioned,,[],Writing & Editing Support
65,https://openalex.org/W4408588867,2025-03-19,True,Acknowledgements,Chat GPT version 3.5,BMC Nursing,grammatical editing of the manuscript,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,"['Style & Formatting', 'Language & Grammar Support', 'Writing & Editing Support']",Language & Grammar Support
66,https://openalex.org/W4388935810,2023-11-23,True,Acknowledgements,ChatGPT-3,Australasian Journal of Educational Technology,text generation,Acknowledgements,Disclosure Required,Text creation; Text editing,"['Writing & Editing Support', 'Content Creation & Generation']",Content Creation & Generation
67,https://openalex.org/W4399443309,2024-06-07,True,AI Declaration Section,ChatGPT,Language Testing in Asia,designing true–false questions,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Error Analysis & Others
68,https://openalex.org/W4403902279,2024-10-30,True,Acknowledgements,ChatGPT-4,Frontiers in Plant Science,correcting grammatical errors,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Language & Grammar Support
69,https://openalex.org/W4386524579,2023-09-01,True,Acknowledgements,ChatGPT,IEEE Signal Processing Magazine,writing certain parts of the article,Other,Disclosure Required,Editing; Grammar enhancement,"['Language & Grammar Support', 'Writing & Editing Support']",Content Creation & Generation
70,https://openalex.org/W4399019489,2024-05-25,False,Disclosure Section,ChatGPT-4,Scientific Reports,English text translation and extensive manuscript proofreading and revision,Not Specified,Not Mentioned,,[],Translation Services
71,https://openalex.org/W4401264231,2024-08-02,False,Disclosure Section,ChatGPT,Scientific Reports,enhance the language and readability of the manuscript,Not Specified,Not Mentioned,,[],Writing & Editing Support
72,https://openalex.org/W4401038451,2024-07-26,True,Acknowledgements,ChatGPT 3.5,Frontiers in Medicine,summarized content,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Content Creation & Generation
73,https://openalex.org/W4401210641,2024-08-01,True,Acknowledgements,ChatGPT and Claude,PLoS ONE,"improve the clarity, coherence, and overall presentation of the manuscript",Methods,Disclosure Required,Text content generation,['Content Creation & Generation'],Writing & Editing Support
75,https://openalex.org/W4391839308,2024-02-15,True,Disclosure Section,ChatGPT-4,Scientometrics,text generation,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Content Creation & Generation
76,https://openalex.org/W4394822508,2024-04-15,True,Acknowledgements,ChatGPT,Theoretical and Applied Genetics,improve the grammar and style of this paper,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Language & Grammar Support
78,https://openalex.org/W4394689344,2024-04-04,False,Acknowledgements,ChatGPT,JMIR Medical Education,generating SCTs for comparison with clinical experts,Not Specified,Not Mentioned,,[],Error Analysis & Others
79,https://openalex.org/W4407232102,2025-02-06,False,Acknowledgements,ChatGPT,Astronomy and Astrophysics,debugging certain codes,,,,[],Error Analysis & Others
81,https://openalex.org/W4405057782,2024-12-05,True,Disclosure Section,ChatGPT,PLoS ONE,text editing,Methods,Disclosure Required,Text content generation,['Content Creation & Generation'],Writing & Editing Support
83,https://openalex.org/W4408219425,2025-03-05,True,AI Declaration Section,GPT-4,Frontiers in Plant Science,enhance the clarity of select portions of the text,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Writing & Editing Support
84,https://openalex.org/W4383534568,2023-07-07,True,Acknowledgements,ChatGPT,BMC Complementary Medicine and Therapies,polishing English language and grammatical check,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,"['Style & Formatting', 'Language & Grammar Support', 'Writing & Editing Support']",Language & Grammar Support
86,https://openalex.org/W4409011223,2025-03-31,True,Experimental Section,GPT-4,Communications Medicine,Experiments,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Error Analysis & Others
88,https://openalex.org/W4399282867,2024-06-03,False,Methods,ChatGPT,Scientific Reports,custom fine-tuning,Not Specified,Not Mentioned,,[],Error Analysis & Others
89,https://openalex.org/W4404665077,2024-11-25,True,Declaration of Interests,GPT-4,Rock Mechanics and Rock Engineering,improve the readability and language of some paragraphs in the text,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Writing & Editing Support
91,https://openalex.org/W4387703131,2023-10-17,True,Methods,GPT-4,BMC Medical Education,writing a 210 multi choice questions-MCQs examination,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,"['Style & Formatting', 'Language & Grammar Support', 'Writing & Editing Support']",Error Analysis & Others
92,https://openalex.org/W4400833734,2024-01-01,False,Acknowledgements,ChatGPT,Physical Chemistry Chemical Physics,identify improvements in the writing style,Not Specified,Not Mentioned,,[],Writing & Editing Support
93,https://openalex.org/W4399527330,2024-06-07,True,Acknowledgements,ChatGPT,Frontiers in Veterinary Science,"proposing titles, structuring papers, crafting abstracts, and summarizing research",Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Content Creation & Generation
94,https://openalex.org/W4405201759,2024-12-09,True,Acknowledgements,ChatGPT,Frontiers in Immunology,language editing and improving the clarity of the manuscript,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Writing & Editing Support
95,https://openalex.org/W4398137351,2024-05-20,True,Disclosure Section,ChatGPT,Journal of Assisted Reproduction and Genetics,improve language,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Writing & Editing Support
96,https://openalex.org/W4408589798,2025-03-19,False,Acknowledgements,ChatGPT 4,Journal of Learning Analytics,assigning categories to student responses,Not Specified,Not Mentioned,,[],Error Analysis & Others
97,https://openalex.org/W4404914409,2024-12-02,True,Disclosure Section,ChatGPT 3.5,PLoS ONE,improve readability and grammar,Methods,Disclosure Required,Text content generation,['Content Creation & Generation'],Language & Grammar Support
98,https://openalex.org/W4393092368,2024-03-22,False,Acknowledgements,Unspecified,Hydrology and earth system sciences,text editing,Not Specified,Not Mentioned,,[],Writing & Editing Support
100,https://openalex.org/W4390511840,2024-01-01,False,Acknowledgements,ChatGPT,Digital Discovery,text editing,Not Specified,Not Mentioned,,[],Writing & Editing Support
101,https://openalex.org/W4406882311,2025-01-28,True,AI Declaration Section,ChatGPT,Frontiers in Political Science,refining phrasing and brainstorming alternative title suggestions,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Style & Formatting
102,https://openalex.org/W4408135196,2025-03-04,True,AI Declaration Section,Unspecified,Frontiers in Bioengineering and Biotechnology,"grammar, structure, citations, and adherence to disciplinary standards",Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Reference & Citation Support
103,https://openalex.org/W4401344974,2024-08-05,True,Disclosure Section,Claude 2.1,Pediatric Rheumatology,"text editing (English language fluency, grammar, word choice, sentence structure)",Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,"['Style & Formatting', 'Language & Grammar Support', 'Writing & Editing Support']",Language & Grammar Support
104,https://openalex.org/W4396708425,2024-05-07,True,Acknowledgements,ChatGPT,PLoS ONE,language revisions of intellectual content,Methods,Disclosure Required,Text content generation,['Content Creation & Generation'],Writing & Editing Support
105,https://openalex.org/W4396973400,2024-05-16,True,Acknowledgements,ChatGPT-3.5,Laboratory Animal Research,content generation,Methods,Disclosure Required,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes,"['Style & Formatting', 'Language & Grammar Support', 'Writing & Editing Support']",Content Creation & Generation
106,https://openalex.org/W4393252962,2024-03-28,True,Declaration of Interests,GPT-4 Turbo,Haematologica,language checking in selected sentences,Cover Letter,Disclosure Required,General writing assistance,['Writing & Editing Support'],Language & Grammar Support
107,https://openalex.org/W4400037475,2024-06-26,True,Methods,GPT-4,PLoS ONE,produce answers for each type of exam,Methods,Disclosure Required,Text content generation,['Content Creation & Generation'],Error Analysis & Others
109,https://openalex.org/W4386223224,2023-08-28,True,Disclosure Section,ChatGPT,Smart Learning Environments,proofreading to improve readability and language,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Language & Grammar Support
111,https://openalex.org/W4408156390,2025-03-04,True,AI Declaration Section,ChatGPT,Frontiers in Immunology,support the writing of R and Python3 codes and edits throughout the manuscript,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Error Analysis & Others
113,https://openalex.org/W4398223368,2024-05-22,True,Acknowledgements,"Grammarly, ChatGPT",PLoS ONE,"language improvement, advanced grammar and style checks, refining manuscript’s language and ensuring readability",Methods,Disclosure Required,Text content generation,['Content Creation & Generation'],Language & Grammar Support
114,https://openalex.org/W4404968551,2024-12-03,True,Acknowledgements,ChatGPT-3.5,International Journal of Cancer,language and readability improvement,Methods,Disclosure Required,General editing; Grammar improvement; Spelling improvement,"['Language & Grammar Support', 'Writing & Editing Support']",Language & Grammar Support
116,https://openalex.org/W4396873924,2024-05-01,True,Acknowledgements,ChatGPT,Molecular Breeding,refine the written content of this publication,Methods,Disclosure Required,General writing assistance,['Writing & Editing Support'],Writing & Editing Support
