count,mean,ci_lower,ci_upper,year,half_year,is_oa,domain_list
32094,0.04192294233312747,0.0397845963304129,0.04417093335081848,2021,H1,True,Social Sciences
61240,0.06421197982860101,0.06229772792340709,0.06618090047090104,2021,H1,False,Life Sciences
53725,0.033581198696611504,0.032090917477589354,0.03513817514187552,2021,H1,False,Social Sciences
53739,0.06731368395278188,0.0652259894234104,0.06946323403799132,2021,H2,False,Life Sciences
22105,0.04636119254033093,0.04366726844654582,0.04921275807377003,2022,H1,False,
5976,0.046818370055601036,0.04174732859783175,0.0524716605852612,2022,H2,False,
19587,0.04635203940755325,0.043495566439223955,0.04938641897202042,2022,H1,True,
7171,0.049907163342887674,0.045103826954328546,0.05519246525150219,2022,H2,True,
31886,0.04383058438405142,0.04163799272888791,0.04613307661853337,2021,H2,True,Social Sciences
48411,0.03373256903155396,0.032160968419550046,0.035378161299071995,2021,H2,False,Social Sciences
3968,0.03446957156044839,0.02922845622591653,0.04061118405186404,2023,H1,False,
92327,0.07406801591477243,0.07239644977681928,0.07577502416830531,2021,H1,True,Life Sciences
99440,0.05854514928735157,0.057102937963607166,0.060021466908787825,2021,H1,False,Health Sciences
32239,0.04683097775369466,0.044578211151121094,0.0491917267833131,2022,H1,True,Social Sciences
4436,0.05221192247669543,0.0460444791489549,0.05915424007693326,2023,H1,True,
106558,0.06685180704289599,0.06536772762819525,0.06836711566542057,2021,H1,True,Health Sciences
78589,0.03948984291351653,0.038150563371257135,0.04087414006226839,2021,H2,False,
2859,0.05619002822522081,0.04832884910470727,0.06524224621764486,2023,H2,False,
98437,0.04769260479223655,0.04637884248366872,0.04904166790090396,2021,H1,True,
50190,0.03387929663677945,0.032331841945503065,0.035498098068428824,2022,H1,False,Social Sciences
3361,0.10283810817684241,0.09301842322868273,0.11356462993812336,2023,H2,True,
65219,0.07171705486156156,0.06976196189582026,0.07372259737106868,2022,H1,False,Life Sciences
51209,0.06947121420645744,0.06730122717794598,0.07170578888738727,2022,H2,False,Life Sciences
83413,0.0452212703187282,0.043831977280952526,0.046652449712593254,2021,H2,True,
32191,0.045466233264665076,0.04324422603695648,0.0477967095929134,2022,H2,True,Social Sciences
95436,0.06112288151645341,0.05962063289698419,0.06266045979180282,2021,H2,False,Health Sciences
87885,0.07589879392195335,0.07416634423517855,0.0776683169684838,2021,H2,True,Life Sciences
87321,0.03161986722494203,0.030479689722871982,0.03280125322994044,2021,H1,True,Physical Sciences
45047,0.03659818647468903,0.034903325928423386,0.038372075022494644,2022,H2,False,Social Sciences
102062,0.06846943356488547,0.06693622119436482,0.07003512902430517,2021,H2,True,Health Sciences
33356,0.053087682107382905,0.05073263768017627,0.05554565239937608,2023,H1,True,Social Sciences
57116,0.09708995193511291,0.09468881197094833,0.09954528540957289,2023,H2,False,Life Sciences
53065,0.03559655506803021,0.03405343047346982,0.03720691258725426,2023,H1,False,Social Sciences
34916,0.0793156654816762,0.07652725972973455,0.08219662844350491,2023,H2,True,Social Sciences
95465,0.07660967346416485,0.07493948139507364,0.07831393814751669,2022,H1,True,Life Sciences
69978,0.07878421713423604,0.07681122689707673,0.08080345031244335,2023,H1,False,Life Sciences
99251,0.06427773498545288,0.06276878144854582,0.06582041602851908,2022,H1,False,Health Sciences
99850,0.029177279823018158,0.02815133762129452,0.03023944789377163,2021,H2,False,Physical Sciences
108109,0.06830527858567854,0.06681679705874302,0.06982443801309374,2022,H1,True,Health Sciences
49467,0.054123540245834656,0.0521640524897681,0.05615227348100584,2023,H2,False,Social Sciences
84592,0.06404979614735513,0.06241956909842048,0.0657196157986469,2022,H2,False,Health Sciences
36104,0.11298227823688695,0.1097579263269142,0.11628897861084792,2024,H1,True,Social Sciences
99436,0.0732256357383886,0.07162289084072347,0.0748613540624387,2022,H2,True,Life Sciences
4814,0.1296913613229081,0.12049535482891545,0.1394778917677547,2025,H1,True,
16,0.181243838738309,0.06257208594117455,0.42334287361131695,2025,H2,True,
167,0.17481604069224857,0.12470740250455871,0.23954853888972766,2025,H2,False,
53635,0.12476275413129738,0.12199300521300892,0.12758624986397601,2024,H1,True,
30989,0.15951166645643056,0.15547722531670502,0.16363051237162482,2025,H1,False,
110076,0.0672339299547532,0.06576959191526263,0.06872847248972708,2022,H2,True,Health Sciences
114530,0.02805024287348901,0.027109691148553015,0.029022452936857485,2021,H1,False,Physical Sciences
92765,0.07960738961218322,0.07788286254190803,0.08136673270206014,2023,H2,False,Health Sciences
52964,0.07432906763247164,0.07212589845497638,0.07659397983414235,2024,H1,False,Social Sciences
32858,0.14767219017423372,0.14387736514773566,0.15154938750324112,2024,H2,True,Social Sciences
101536,0.08170531730257649,0.08003627687668415,0.08340600760649526,2023,H1,True,Life Sciences
106902,0.06931867263810784,0.06781151469923784,0.07085678201164834,2023,H1,False,Health Sciences
180909,0.043700810617636164,0.0427684407759399,0.04465255834905871,2021,H1,False,
92864,0.12613135487181362,0.12401150750604198,0.128282132234063,2023,H2,True,Life Sciences
81548,0.1028429050023506,0.10077678548757651,0.10494644029090708,2024,H1,False,
95781,0.036692075133064106,0.03551990423350254,0.03790140803629079,2022,H2,True,Physical Sciences
39803,0.09213741673392399,0.08933533330353835,0.09501821966380769,2024,H2,False,Social Sciences
32625,0.1582548911534148,0.1543347300806351,0.16225552089772025,2025,H1,True,Social Sciences
58541,0.1770168494777749,0.17394620408191303,0.18012988038332794,2024,H2,True,
49661,0.16106718959495767,0.15786041069728732,0.16432639980604444,2024,H2,False,Life Sciences
112995,0.07310589373658902,0.07160257948592924,0.07463823299509556,2023,H1,True,Health Sciences
77180,0.12316627651348286,0.12086655012085705,0.12550351312077695,2024,H2,False,Health Sciences
88334,0.14173555546594807,0.1394510989787541,0.1440511709239267,2024,H2,False,
100371,0.031045451754637444,0.02999028212245896,0.03213651622978015,2022,H2,False,Physical Sciences
84598,0.03180076774122579,0.030639449644045847,0.03300460425265273,2021,H2,True,Physical Sciences
74949,0.13320498090002592,0.13079109718880338,0.1356564623309368,2024,H1,False,Life Sciences
69976,0.10264917069294967,0.10042223420925397,0.104919731363735,2025,H1,False,Social Sciences
94027,0.08551037656145961,0.08373987082268122,0.08731474873800121,2023,H2,True,Physical Sciences
89137,0.1329542222016856,0.1307411286890603,0.13519895084850186,2024,H2,False,Physical Sciences
118877,0.02910419471218648,0.028163733610363513,0.030075088419005386,2022,H1,False,Physical Sciences
102138,0.18539459487978976,0.18302315396800484,0.18778969981977855,2024,H2,True,Health Sciences
98118,0.1730235960454979,0.1706695466501625,0.17540324761813567,2024,H1,True,Life Sciences
110336,0.1044246665859887,0.10263397881995372,0.10624289809929942,2023,H2,True,Health Sciences
98045,0.18758432447421605,0.18515302308290793,0.1900401061538094,2025,H1,True,Physical Sciences
116037,0.0649580441105045,0.06355437784486938,0.06639051395491093,2023,H2,False,Physical Sciences
113000,0.14772573233485267,0.14566886936364498,0.14980654576783858,2024,H1,True,Health Sciences
105492,0.1851798408026893,0.18284727346837767,0.18753533546116377,2025,H1,False,Life Sciences
110308,0.19207550405458376,0.1897615479405703,0.19441090626641258,2025,H1,True,Health Sciences
133017,0.036477820275770574,0.03548364394030988,0.037498768376412736,2023,H1,False,Physical Sciences
153566,0.1355115027215888,0.1338087573127188,0.13723248305913505,2025,H1,False,Health Sciences
85951,0.2127230649894662,0.21000007606526133,0.215471731641586,2024,H2,True,Life Sciences
106851,0.1288583530667655,0.12686278217020744,0.1308806092371749,2024,H1,True,Physical Sciences
239752,0.16877305095106532,0.1672790958640105,0.17027762012516254,2025,H1,False,Physical Sciences
96197,0.03309188768497867,0.03198003071390109,0.03424103348345749,2022,H1,True,Physical Sciences
86705,0.1594994385038088,0.1570774239540826,0.16195162342286304,2024,H2,True,Physical Sciences
143432,0.10540031358898504,0.10382173427625295,0.10700002901986709,2024,H1,False,Physical Sciences
93821,0.23464934010404864,0.23194856104803113,0.23737184759823216,2025,H1,True,Life Sciences
111552,0.10448625846685353,0.10270481322264026,0.10629494297942334,2024,H1,False,Health Sciences
104703,0.04251323732209914,0.041307856048838756,0.043752186918791985,2023,H1,True,Physical Sciences
