count,mean,ci_lower,ci_upper,ci_width,fisher_info,se,ci_method,warning,year,half_year,has_ai_policy,domain_list
47743,0.061610412367557675,0.05828647472247887,0.06511080013160549,0.006824325409126614,330191.36462722404,0.001740272047063602,fisher_logit,none,2021,H1,False,Life Sciences
25367,0.03397765376620319,0.03043808580744304,0.03791273405930017,0.007474648251857133,275978.680508493,0.001903540989555762,fisher_logit,none,2021,H2,False,Social Sciences
30728,0.031203897381069448,0.028180883351278,0.03453967009620929,0.006358786744931292,381165.64975672984,0.0016197318503032502,fisher_logit,none,2021,H1,False,Social Sciences
31340,0.0495120718199889,0.04590138569694003,0.05339088725925353,0.007489501562313504,274351.1998121917,0.001909178645619306,fisher_logit,none,2021,H2,True,
37412,0.06266951738091593,0.05890285811841234,0.0666599819873942,0.007757123868981863,255601.187850797,0.0019779648342268933,fisher_logit,none,2021,H2,False,Life Sciences
8369,0.04455989040664218,0.03788006375572143,0.05235355076218651,0.014473487006465079,73874.77069685762,0.0036791875509103,fisher_logit,none,2022,H1,True,
60902,0.0486126838418061,0.04607319624387453,0.051284619140967984,0.005211422897093455,566206.9763504993,0.0013289614765458024,fisher_logit,none,2021,H1,True,
55091,0.040194485774178806,0.03754737565701081,0.04301987688048672,0.005472501223475909,513739.8044526436,0.0013951740567560923,fisher_logit,none,2021,H1,True,Social Sciences
9140,0.048643594174409714,0.041767866827903295,0.056584349915819745,0.01481648308791645,70424.63680754467,0.0037682325096486044,fisher_logit,none,2022,H2,False,
4007,0.048554753335517085,0.0382154155397107,0.061512532288945224,0.02329711674923452,28739.359243132007,0.005898769953773856,fisher_logit,none,2022,H2,True,
5599,0.042137122503190926,0.03344320773548346,0.05296726017702932,0.019524052441545856,40899.513005142515,0.0049447112026800655,fisher_logit,none,2023,H1,False,
70968,0.025127340992510634,0.023187077998053893,0.027225437333314385,0.004038359335260491,944024.773920323,0.0010292202068784245,fisher_logit,none,2021,H1,False,Physical Sciences
33323,0.046805335728111346,0.04328987863072351,0.050591177503563796,0.007301298872840284,288711.6167888416,0.0018610921213440754,fisher_logit,none,2022,H1,False,
2805,0.05334930726969911,0.039664357283447985,0.07140475556334676,0.031740398279898774,15595.77413945799,0.00800749233249208,fisher_logit,none,2023,H1,True,
28671,0.036690530556233246,0.03326510806576742,0.04045392036050948,0.00718881229474206,298138.2222078489,0.0018314335732749723,fisher_logit,none,2022,H1,False,Social Sciences
54281,0.02180255227486664,0.019890251304372164,0.02389422468829224,0.004003973383920077,960910.3568162902,0.0010201371486883066,fisher_logit,none,2021,H2,False,Physical Sciences
23553,0.03615324678357551,0.0324288148374545,0.04028761717228582,0.00785880233483132,249628.07105902454,0.002001489377798204,fisher_logit,none,2022,H2,False,Social Sciences
58495,0.05826790209219096,0.055361812179085444,0.06131663850643768,0.005954826327352239,433614.3135778064,0.0015186167827401457,fisher_logit,none,2021,H2,False,Health Sciences
68168,0.05320248271566745,0.050679616336939175,0.05584355132426673,0.005163934987327555,576580.3356837792,0.0013169524260452001,fisher_logit,none,2021,H1,False,Health Sciences
3696,0.0780884763229397,0.06402285416068261,0.09493085320684289,0.030907999046160275,16223.897526340248,0.007850953456812566,fisher_logit,none,2023,H2,False,
2524,0.09503247075648476,0.07564836551650819,0.11874547579431068,0.04309711027780248,8355.738504377252,0.010939754597459639,fisher_logit,none,2023,H2,True,
105824,0.07401163470253251,0.07160663161715937,0.07649075788000045,0.004884126262841085,644303.6541881345,0.0012458182907298433,fisher_logit,none,2021,H1,True,Life Sciences
46268,0.06334653162203949,0.060007392368555665,0.06685826298641738,0.006850870617861715,327623.51088199357,0.0017470787043284825,fisher_logit,none,2022,H1,False,Life Sciences
38488,0.06569837290313099,0.0619005646919834,0.069711874171805,0.007811309479821595,252045.1146707646,0.0019918693915291046,fisher_logit,none,2022,H2,False,Life Sciences
54930,0.03979870500917329,0.037189507217663766,0.042582866532518894,0.005393359314855128,528922.6540756325,0.0013750038549237632,fisher_logit,none,2021,H2,True,Social Sciences
68869,0.05527043683414565,0.05278948668916748,0.057860861906228,0.005071375217060525,597776.6598093258,0.0012933930501349035,fisher_logit,none,2022,H1,False,Health Sciences
29638,0.035153749360930665,0.03182516600312598,0.038816510522480786,0.006991344519354806,315250.1597914018,0.0017810345416279358,fisher_logit,none,2023,H1,False,Social Sciences
53758,0.04035231315981966,0.03766811764133513,0.04321919173262955,0.0055510740912944195,499312.10761320847,0.0014151873940683453,fisher_logit,none,2022,H1,True,Social Sciences
53678,0.06000445650505359,0.05695155460156679,0.06321004082585895,0.006258486224292155,392565.4592119154,0.0015960406845915733,fisher_logit,none,2022,H2,False,Health Sciences
25421,0.052908936577551295,0.04831379968688403,0.05791452183304132,0.009600722146157287,167060.9195089495,0.0024465977177441536,fisher_logit,none,2023,H2,False,Social Sciences
48316,0.06784476179430785,0.064386084428503,0.07147503824231712,0.007088953813814122,305966.449051618,0.0018078529276439684,fisher_logit,none,2023,H1,False,Life Sciences
137830,0.06780221668073969,0.0657769692720655,0.06988515604834086,0.004108186776275363,910648.3339457617,0.0010479116083147494,fisher_logit,none,2021,H1,True,Health Sciences
42440,0.09453839254865624,0.09012895551696147,0.09914004971820436,0.009011094201242895,189319.79961989383,0.0022982749417111707,fisher_logit,none,2023,H2,False,Life Sciences
53685,0.04242885034051578,0.039703473720050994,0.04533247436765155,0.005629000647600559,485532.3107625382,0.0014351289717730623,fisher_logit,none,2022,H2,True,Social Sciences
28221,0.07388567744256956,0.06863862329008583,0.07949960263868251,0.010860979348596686,130423.1452387546,0.002768998148508674,fisher_logit,none,2024,H1,False,Social Sciences
104212,0.07611673802977777,0.07366093492753727,0.07864746458098834,0.0049865296534510745,618108.2139784829,0.0012719432722861322,fisher_logit,none,2021,H2,True,Life Sciences
56079,0.027908747006742247,0.02581354263862285,0.030168746069183395,0.004355203430560544,811555.939884694,0.0011100454719838164,fisher_logit,none,2022,H2,False,Physical Sciences
70705,0.02531358383110823,0.023412949149255794,0.027364186446435294,0.0039512372971794996,986004.7970813576,0.0010070719183412659,fisher_logit,none,2022,H1,False,Physical Sciences
139003,0.06761257207014026,0.06561752153921488,0.06966375817312372,0.004046236633908837,938742.0867563324,0.0010321120665135002,fisher_logit,none,2021,H2,True,Health Sciences
51682,0.1233251417870722,0.11863980443110139,0.1281686051633141,0.009528800732212711,169269.37574246558,0.0024305849459048167,fisher_logit,none,2024,H1,False,Life Sciences
37967,0.1519398711815707,0.14599378058999635,0.15808330798276649,0.012089527392770139,105150.11679878617,0.0030838633118984637,fisher_logit,none,2024,H2,False,Life Sciences
16018,0.142167629200473,0.12928535871433075,0.15610338742850077,0.026818028714170022,21388.010684408036,0.006837774964815378,fisher_logit,none,2025,H1,True,
38618,0.11373359215717078,0.10881550085573842,0.11884432210227838,0.010028821246539962,152826.22534149967,0.0025580030425475997,fisher_logit,none,2024,H1,True,
19785,0.1610107076715725,0.1515584725239735,0.1709336829522264,0.01937521042825291,40945.310406529,0.004941945094920281,fisher_logit,none,2025,H1,False,
70956,0.05912709481764165,0.05652599762583093,0.06184003874148342,0.005314041115652493,544410.141435087,0.001355304550869418,fisher_logit,none,2023,H1,False,Health Sciences
11,0.37022780898019986,0.0830249337069833,0.7924011311823187,0.7093761974753354,20.192170613227795,0.22254021148390263,fisher_logit,none,2025,H2,True,
172,0.1654233249081384,0.09808031293362297,0.26539866900603953,0.16731835607241657,559.2444772045774,0.04228624756407057,fisher_logit,none,2025,H2,False,
22061,0.09774847837865464,0.09108446202493169,0.10484381421225873,0.013759352187327045,81240.81524487771,0.003508430384826131,fisher_logit,none,2024,H2,False,Social Sciences
61546,0.053822575494985994,0.050890125499903044,0.05691386973726008,0.006023744237357034,423813.1159054042,0.0015360763532615827,fisher_logit,none,2023,H2,False,Physical Sciences
130662,0.040847593198105304,0.03917861433114309,0.042584518186079307,0.003405903854936214,1325258.1623290381,0.00086865986502368,fisher_logit,none,2021,H2,False,
44118,0.16516546145071767,0.15980938975274497,0.17066458059633893,0.01085519084359396,130412.72270423168,0.0027691087949302876,fisher_logit,none,2024,H2,True,
58962,0.07043248095355589,0.06700510763111882,0.0740212587176886,0.007016151086569777,312327.66051236895,0.0017893478505113041,fisher_logit,none,2023,H2,True,Social Sciences
52703,0.12315535725554183,0.11852150470643667,0.12794408384640388,0.009422579139967205,173106.56866484127,0.0024034950170570384,fisher_logit,none,2024,H2,False,Health Sciences
56783,0.04659658919973089,0.04374872278913461,0.049620220615566334,0.005871497826431725,446191.613524988,0.0014970603165521176,fisher_logit,none,2023,H1,True,Social Sciences
30971,0.10846014694836342,0.10116851060822597,0.11620937534984126,0.015040864741615284,67979.43968555212,0.003835404819904469,fisher_logit,none,2025,H1,False,Social Sciences
75994,0.031961570606159256,0.02983442852174034,0.03423502236402267,0.0044005938422823285,794563.892725014,0.001121852053439523,fisher_logit,none,2023,H1,False,Physical Sciences
112157,0.07412446883869514,0.07177122030125546,0.07654851306625647,0.004777292765001009,673434.8326210731,0.001218574854103826,fisher_logit,none,2022,H2,True,Life Sciences
56826,0.17795314870265325,0.17168176765593385,0.18440261745471606,0.012720849798782213,94963.6427405843,0.003245049435217206,fisher_logit,none,2025,H1,False,Life Sciences
71816,0.09981711795058762,0.09623302059665666,0.10351941146555681,0.00728639086890015,289494.8745042432,0.0018585727294196394,fisher_logit,none,2024,H1,False,Health Sciences
50600,0.1270324065028896,0.1221417989263119,0.132089371116873,0.009947572190561096,155317.13489846833,0.0025374080578856864,fisher_logit,none,2024,H2,True,Social Sciences
130883,0.031856015255052036,0.030369376165699208,0.03341292042841352,0.003043544262714311,1659907.6688807702,0.0007761721118016177,fisher_logit,none,2021,H1,True,Physical Sciences
138491,0.07247791936273608,0.07040821715345247,0.0746035793197002,0.004195362166247732,873175.0869871617,0.001070161522522734,fisher_logit,none,2022,H1,True,Health Sciences
57759,0.10564870417593653,0.10144375410729446,0.11000661504202638,0.008562860934731922,209626.9161154762,0.002184119907548522,fisher_logit,none,2024,H2,False,Physical Sciences
60847,0.09779305015345449,0.0937972907975733,0.10193988047185656,0.00814258967428326,231833.42829901952,0.002076882711870993,fisher_logit,none,2024,H1,True,Social Sciences
59598,0.07556724734981222,0.07224722779326533,0.07902683794446105,0.006779610151195728,334460.31747873686,0.0017291302205614228,fisher_logit,none,2023,H2,False,Health Sciences
71630,0.13796456410917246,0.13241908794413024,0.14370380822460277,0.011284720280472532,120689.04332823449,0.0028784989648952693,fisher_logit,none,2025,H1,True,Social Sciences
107540,0.12367953277325737,0.12054947716398536,0.1268791348486621,0.006329657684676734,383564.92157003836,0.0016146580374608427,fisher_logit,none,2023,H2,True,Life Sciences
79423,0.1360764700380216,0.1310944834392013,0.1412170166416865,0.010122533202485212,149988.08988951918,0.002582091409486396,fisher_logit,none,2025,H1,False,Health Sciences
96565,0.11087722785066138,0.10772285128679396,0.11411215916401646,0.0063893078772225,376452.88076744636,0.001629838931864533,fisher_logit,none,2024,H1,False,
140990,0.06810839567708434,0.06610907407181554,0.07016363954410904,0.004054565472293492,934886.6528857226,0.0010342380706070368,fisher_logit,none,2022,H2,True,Health Sciences
97011,0.14596799347354295,0.14128816958427887,0.15077560825700437,0.009487438672725501,170730.46389471024,0.0024201622909328546,fisher_logit,none,2025,H1,False,Physical Sciences
97645,0.21088489551502732,0.20660893013170736,0.21522534969944027,0.008616419567732903,206967.73291863053,0.002198106237978838,fisher_logit,none,2024,H2,True,Life Sciences
114416,0.07930900854559356,0.0769257363744404,0.08175957798705429,0.004833841612613882,657749.355326346,0.001233019044335989,fisher_logit,none,2022,H1,True,Life Sciences
130167,0.03409861815398976,0.03256189567845438,0.035705187902609584,0.0031432922241552003,1556148.2021213043,0.0008016310347464382,fisher_logit,none,2021,H2,True,Physical Sciences
123198,0.08551556641008516,0.08309374362622472,0.0880012002964315,0.0049074566702067834,638144.2376788312,0.0012518162186171793,fisher_logit,none,2023,H1,True,Life Sciences
142487,0.22990539295860135,0.22562175186447386,0.2342457613822244,0.008624009517750525,206600.97586070627,0.002200056406686876,fisher_logit,none,2025,H1,True,Life Sciences
83719,0.08992952302289059,0.08644337086738706,0.09354187163987268,0.007098500772485625,305043.2355432778,0.0018105865947502895,fisher_logit,none,2024,H1,False,Physical Sciences
143503,0.1011714842746317,0.09869962143195829,0.10369813065418391,0.004998509222225625,615070.4382148861,0.001275080408389882,fisher_logit,none,2023,H2,True,Health Sciences
148941,0.0774472630832668,0.0753469422999541,0.07960109082123801,0.004254148521283904,849188.6063979248,0.0010851703540991485,fisher_logit,none,2023,H1,True,Health Sciences
140073,0.036338186383272464,0.03479504644285212,0.037947073059292034,0.0031520266164399152,1547418.873445788,0.0008038889429788743,fisher_logit,none,2022,H2,True,Physical Sciences
118083,0.16673409291649602,0.16330541469803364,0.17022011268564133,0.0069146979876076875,321384.2982657461,0.0017639556940673646,fisher_logit,none,2024,H2,True,Physical Sciences
102757,0.15176289154991646,0.14829064380444065,0.1553016175837341,0.007010973779293439,312625.15235778014,0.0017884962826071903,fisher_logit,none,2024,H2,False,
144369,0.03350142865786742,0.03204558752505692,0.035021016162090086,0.0029754286370331645,1736613.4798487877,0.0007588368561985019,fisher_logit,none,2022,H1,True,Physical Sciences
152736,0.13862609374708965,0.1357712569034711,0.1415311281570832,0.005759871253612103,463185.00846634555,0.0014693415263763623,fisher_logit,none,2024,H1,True,Health Sciences
121385,0.16885572202780988,0.16548271628218206,0.1722832856750408,0.006800569392858752,332260.74856077094,0.0017348442077182585,fisher_logit,none,2024,H1,True,Life Sciences
184451,0.17867293058179415,0.1752273294750204,0.1821713197272909,0.006943990252270493,318674.7475097924,0.001771438889600194,fisher_logit,none,2025,H1,True,Health Sciences
161726,0.042359231362962636,0.04076573967487687,0.04401215310141692,0.00324641342654005,1458558.3688522612,0.0008280147881651674,fisher_logit,none,2023,H1,True,Physical Sciences
148518,0.08285362191692916,0.08058844722926269,0.0851765674940781,0.004588120264815421,730059.6604130977,0.0011703636480214791,fisher_logit,none,2023,H2,True,Physical Sciences
240786,0.19801559073397648,0.19402260678432576,0.2020701476636906,0.00804754087936485,237265.2696835148,0.0020529714700029044,fisher_logit,none,2025,H1,True,Physical Sciences
126615,0.17387886468505562,0.17030575152729344,0.17751090504866238,0.00720515352136894,295993.565662281,0.0018380565328371386,fisher_logit,none,2024,H2,True,Health Sciences
218444,0.04412542892998803,0.04279239032086785,0.04549801961575224,0.002705629294884389,2099572.06991764,0.0006901358795686923,fisher_logit,none,2021,H1,False,
166564,0.12707319287337643,0.12451135717990552,0.12967993106596423,0.005168573886058708,575229.2883833684,0.0013184980892582917,fisher_logit,none,2024,H1,True,Physical Sciences
