ID,Allowed_Usage
1,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes
2,General writing assistance
3,General editing; Grammar improvement; Spelling improvement
4,Grammar checking; Reference checking; Spelling checking
5,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
6,Grammar; Language polishing; Paraphrasing; Spelling; Summarizing
7,Grammar checking; Language enhancement; Readability improvement; Reference checking; Spelling checking
8,General writing assistance
9,Content generation
10,General writing assistance
11,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
12,Language improvement; Readability enhancement
13,General editing; Grammar improvement; Spelling improvement
14,Clarity improvement; Editing optimization; Grammar checking; Phrase suggestion; Spelling correction; Writing assistance
15,General writing assistance
16,General writing assistance
17,General writing assistance
18,Language enhancement; Readability improvement
21,Drafting of scientific manuscripts
22,General writing assistance
23,General writing assistance
24,Language improvement; Readability improvement
25,General writing assistance
26,General writing assistance
27,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
28,Language improvement; Readability improvement
29,General writing assistance
30,General writing assistance
32,Editing
33,General writing assistance
34,Grammar enhancement; Revising; Spelling checking; Writing assistance
35,General writing assistance
36,General writing assistance
37,General writing assistance
38,General writing assistance
39,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
40,General writing assistance
41,General writing assistance
42,Content generation; Translation
44,Accessibility enhancement; Language improvement; Quality improvement
45,General writing assistance
46,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
47,General writing assistance
48,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
50,General writing assistance
51,General writing assistance
54,Formatting; Grammar checking; Punctuation correction; Spelling correction; Structure improvement; Text editing
55,General writing assistance
58,Text creation; Text editing
59,General writing assistance
60,Grammar checking; Spelling checking; Writing assistance
61,Content generation
62,Content generation
64,General writing assistance
65,General writing assistance
66,Language improvement; Readability improvement
67,Grammar checking; Language translation; Spell checking; Text snippet inclusion
68,General writing assistance
69,General writing assistance
70,General writing assistance
71,Drafting of the manuscript; Editing of the manuscript; Text generation
72,General writing assistance
73,Error in analysis
74,Text revision; Translation
75,Abstract writing; Plain-language summaries
78,General writing assistance
79,Language improvement; Readability enhancement
80,General writing assistance
81,Language improvement; Readability improvement
82,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes
83,General writing assistance
84,General writing assistance
86,General writing assistance
87,Language accuracy enhancement; Readability improvement
88,Content creation; Editing; Manuscript preparation; Writing assistance
89,General writing assistance
90,General writing assistance
91,Error in analysis
92,General writing assistance
94,Language improvement; Readability improvement; Reference list preparation
95,General writing assistance
96,Accessibility enhancement; Quality improvement; Style improvement
97,General writing assistance
98,General writing assistance
99,Content editing; Writing assistance
100,Text correcting; Text editing; Text formatting; Text refining; Writing assistance
103,General writing assistance
104,Improving language
105,Grammar and spelling check; Personalized feedback; Readability enhancement; Sentence structure improvement; Style and tone suggestions
106,General writing assistance
108,Language improvement; Readability improvement
109,General writing assistance
110,Clarity improvement; Editing optimization; Grammar correction; Phrase suggestion; Spelling correction; Writing assistance
111,General writing assistance
112,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
113,General writing assistance
114,General writing assistance
115,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
116,General writing assistance
117,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
118,Language proofreading; Writing assistance
119,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
120,Language improvement; Readability improvement
121,General writing assistance
122,General writing assistance
123,Editing; Grammar enhancement
124,Content generation; Translation
125,Editing of the text; Writing assistance
126,General writing assistance
127,Content generation; Grammar checking; Language improvement; Reference generation; Structure enhancement
128,General writing assistance
129,General writing assistance
130,General writing assistance
131,General writing assistance
132,Error in analysis
133,General writing assistance
134,General writing assistance
135,General writing assistance
137,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
138,General writing assistance
139,General writing assistance
140,General writing assistance
142,Language editing; Readability improvement
143,Writing of the manuscript
144,Readability improvement
145,Text editing; Text generation
147,Editing; Grammar checking; Reference checking; Reviewing; Revising; Spelling checking; Writing assistance
148,General writing assistance
149,General writing assistance
150,Formatting; Grammar checking; Reference clean up; Spelling assistance
151,General writing assistance
152,Editing
153,Condensing writing; Light editing; Polishing writing
154,General writing assistance
155,General writing assistance
156,General writing assistance
157,Grammar checking; Reference checking; Spelling checking; Writing assistance
158,Content generation; English improvement; General text editing; Spelling and grammar improvement
159,General writing assistance
160,Language editing
163,Content generation; Translation
164,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
165,Content generation; Translation
166,Grammar suggestions; Spelling checks; Synonym suggestions; Translation of own words
167,Content generation; Translation
168,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
169,General writing assistance
170,Grammar checking; Reference checking; Reference organizing; Spelling checking
172,General writing assistance
173,General writing assistance
174,Content generation; Translation
175,General writing assistance
177,Editing; Readability improvement
178,Language improvement; Readability enhancement
180,Linguistic quality enhancement
181,Content creation; Grammar checking; Manuscript preparation; Reference checking; Spelling checking; Writing assistance; Writing editing
182,General writing assistance
183,General writing assistance
185,Grammar and style improvement; Literature review assistance
186,Language improvement; Readability improvement; Reference management; Spelling check
188,General writing assistance
189,General writing assistance
190,General writing assistance
191,Editing tool usage; Text incorporation
192,General writing assistance
193,Language barrier overcoming; Readability enhancement
194,Language improvement; Readability improvement
195,General writing assistance
196,General writing assistance
198,General writing assistance
199,General editing; Grammar improvement; Spelling improvement
200,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
201,Compilation of references; Language translation; Writing assistance
202,Language improvement; Readability improvement
203,General writing assistance
204,Language enhancement; Readability improvement
205,General writing assistance
206,Error in analysis
208,Writing of a manuscript
209,Content generation; Translation
210,Text content generation
211,General writing assistance
212,Drafting text; Editing text
213,Drafting text; Editing text
214,General writing assistance
216,Copyediting; Formatting
218,Grammar checking; Reference checking; Spelling checking; Writing assistance
219,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
220,Content editing; Grammar checking; Language improvement; Medical writing assistance; Reporting standards
221,General writing assistance
222,General writing assistance
223,Grammar checking; Spelling correction; Style improvement
224,Content generation
225,General writing assistance
227,General writing assistance
228,General writing assistance
229,General writing assistance
230,Content generation
231,General writing assistance
232,General writing assistance
233,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
